             pixel |             height | wavelength | name
#14.599793518923889 | 142.49590908477853 |            |   Ar
 42.50994484219323 |  761.5136002323045 |  9657.78   |   Ar
#137.40563802836434 | 1277.2012121717128 |            |   Ar
159.51253051071055 | 4370.5567772333525 |  9122.97   |   Ar
# 233.7913315566304 |  291.8470676558308 |            |   Ne
#258.46157510710555 |   514.536156420479 |            |   Ar
#261.42566449355456 |  262.9301175193125 |            |   Ne
# 265.6359532144502 |  145.5561754316404 |            |   Ne
#275.13105077998296 |   132.713079354511 |            |   Ne
# 290.2543300073399 | 1975.6315683450798 |            |   Ar
# 295.8466500502861 |  386.0556223683778 |            |   Ne
311.22486731189235 |   4962.13698403139 |  8424.65   |   Ar
# 314.7140147544349 | 3245.1057943075807 |            |   Ar
321.41803167009306 |   747.585925657396 |  8377.61   |   Ne
#  338.131024929347 |  153.9343029285907 |            |   Ne
#  345.826142480012 | 2087.2005676062417 |            |   Ar
378.19595537594677 |  8651.003136422907 |  8115.31   |   Ar
# 400.1643470880462 |  2496.825146810257 |            |   Ar
#400.28489094007114 | 2614.4595562510913 |            |   Ar
#414.33808259378804 |   2510.72919664809 |            |   Ar
#462.73463948702573 | 3278.1112161635133 |            |   Ar
 481.9978019471888 |  6233.001767920762 |  7635.11   |   Ar
#503.16309560598864 | 190.13613884831545 |            |   Ne
#509.34491016219033 | 2221.4679527511107 |            |   Ar
#509.92766730269847 |  2208.788402302421 |            |   Ar
#  513.607163543817 | 261.15421583254215 |            |   Ne
 524.4642936592375 | 1412.9713255617776 |  7438.90   |   Ne
 536.3553341635928 | 1990.5915624345446 |  7383.98   |   Ar
# 558.5588252754993 | 1412.1500847650666 |            |   He
# 560.4048893055118 | 422.66401507538427 |            |   Ar
 566.4133483383239 |  4137.909817887223 |  7245.17   |   Ne
# 581.7897375700094 | 1093.8006068119673 |            |   Ne
#  587.613363838872 | 205.02226244221814 |            |   Ar
# 604.9237222177719 |  1103.770451056434 |            |   Ar
 605.4103225094667 | 14466.929354215317 | 7065.19    |   He
 612.5093232873354 | 7758.1554963757435 | 7032.4127  |   Ne
  627.028766942844 | 1175.4116455146054 | 6965.43    |   Ar
# 634.7979474308466 |  3276.941856557867 |            |   Ne
# 680.9591067681246 |  2107.965762804428 |            |   Ne
# 689.4183070704715 |  3391.087466146233 |            |   Ne
 689.4406107217538 |  5025.386699203848 | 6678.2     |   He
# 706.6309235618746 | 1784.2677980300252 |            |   Ne
# 721.0491201130163 | 1402.2642846175186 |            |   Ne
# 726.7476876443155 |  3762.862538918916 |            |   Ne
  749.513738569233 |  7155.537566696962 | 6402.246   |   Ne
# 753.6774318380933 | 2469.0144048877814 |            |   Ne
# 764.3441393352359 |  2621.985278508663 |            |   Ne
# 770.7475947173967 |  700.0848596708655 |            |   Ne
#  779.189495345771 | 1368.3275805458302 |            |   Ne
# 789.9061679755675 |  812.2081395859904 |            |   Ne
# 801.6179245012104 |  838.7347247991678 |            |   Ne
 806.1661221819355 | 2560.3951780565853 | 6143.0623  |   Ne
# 816.4320899252888 | 1624.4664797090732 |            |   Ne
# 821.2259457795471 | 1098.3428752618968 |            |   Ne
# 830.9117345591012 |  347.1496937910415 |            |   Ne
# 842.8514486746249 |  309.0686205077556 |            |   Ne
# 849.5758554226649 | 1138.0259185235032 |            |   Ne
# 863.4388410663645 |  576.2717034652536 |            |   Ne
 864.7550306386272 |  8804.897107826264 | 5875.62    |   He
# 869.8612784539616 | 1183.4623385705468 |            |   Ne
