pixel wave1 wavelength name
-204. 6163.52586  6163.5939  NeI(5)
-191. 6217.21341  6217.2813  NeI(1)
-183. 6266.44262   6266.495  NeI(5)
-175. 6304.87307  6304.7892   NeI
-170. 6334.42959  6334.4279   NeI(1)
-161.  6383.0405  6382.9914    NeI(3)
-158. 6402.28435   6402.246   NeI(1)
-138. 6506.59718  6506.5279   NeI(3)
-133. 6532.95968  6532.8824   NeI
-120. 6599.02998  6598.9529    NeI(6)
-98. 6717.00328  6717.0428    NeI
-58.56 6929.37961   6929.468  NeI(6)
-39. 7032.32141  7032.4127    NeI(1)
-11.77 7173.82002   7173.939    NeI(6)
1.35 7245.03257   7245.167    NeI(3)
6.58 7281.38045   7281.349    HeI
27. 7384.02692    7383.98    ArI
49. 7503.89358   7503.867    ArI(8)
50. 7514.68842   7514.651    ArI
74. 7635.15847   7635.105   ArI(1)
78. 7723.93435     7723.8    blend_AI(1)_7723.760_and_AI(6)_7724.206
163. 8115.24975   8115.311    ArI(1)
191. 8264.64385   8264.521    ArI(8)
221. 8424.53895   8424.647    ArI(3)
239. 8521.40925   8521.441    ArI(8)
