pixel wave1 wavelength name
-418. 5852.4413   5852.4413  NeI
-400. 5875.617    5875.617   HeI
-340.  5944.8342   5944.8342  NeI
-230.   6074.3839   6074.3839  NeI
-212.   6096.108    6096.108   NeI
-170.   6143.0626   6143.0626  Ne
-154.  6163.52586  6163.5939  NeI(5)
-110.  6217.21341  6217.2813  NeI(1)
-66.  6266.44262  6266.495   NeI(5)
-34.  6304.87307  6304.7892  NeI
-10.  6334.42959  6334.4279  NeI(1)
30.  6383.0405   6382.9914  NeI(3)
46.  6402.28435  6402.246   NeI(1)
134.  6506.59718  6506.5279  NeI(3)
156.  6532.95968  6532.8824  NeI
212.  6599.02998  6598.9529  NeI(6)
310.  6717.00328  6717.0428  NeI
485.  6929.37961  6929.468   NeI(6)
514.  6965.4300   6965.4300  ArI
570.  7032.32141  7032.4127  NeI(1)
600.  7065.1880   7065.1880  HeI
685.  7173.82002  7173.939   NeI(6)
746. 7245.03257  7245.167   NeI
775. 7281.38045  7281.349   HeI
859. 7384.02692  7383.98    ArI
954. 7503.89358  7503.867   ArI(8)
966. 7514.68842  7514.651   ArI
1063. 7635.15847  7635.105   ArI(1)
1316. 7948.1800   7948.1800  ArI
1368. 8014.7850   8014.7850  ArI
1440. 8103.6931   8103.6931  ArI
1449. 8115.24975  8115.311   ArI(1)
1568. 8264.64385  8264.521   ArI(8)
1684. 8408.2096   8408.2096  ArI
1698. 8424.53895  8424.647   ArI(3)
1774. 8521.40925  8521.441   ArI(8)
1892. 8667.9442   8667.9442  ArI
2254. 9122.9674   9122.9674  ArI
2334. 9224.4992   9224.4992  ArI
