pixels wave1 wave2 name
517.58 5852.51493  5852.4878 NeI(6)
602.67 5944.82541  5944.8342 NeI(1)
740.87 6096.10358   6096.163 NeI
783.43 6143.02192  6143.0623 NeI(1)
894.87 6266.55252   6266.495 NeI(5)
955.78 6334.47851  6334.4279 NeI(1)
999.16 6383.02141  6382.9914 NeI(3)
1016.28 6402.21834   6402.246 NeI(1)
1109.00 6506.53544  6506.5279 NeI(3)
1190.71 6598.92999  6598.9529 NeI(6)
1294.63 6717.04635  6717.0428 NeI
1480.18 6929.48731   6929.468 NeI(6)
1569.48 7032.36756  7032.4127 NeI(1)
1691.76  7173.8755   7173.939 NeI(6)
1872.30 7384.00836    7383.98 ArI
2086.71 7635.23039   7635.105 ArI(1)
2351.97 7948.08948   7948.175 ArI(6)
2618.73 8264.50067   8264.521 ArI(8)
2834.61 8521.45642   8521.441 ArI(8)
3339.10 9123.06385   9122.966 ArI(1)
3424.15 9224.39995   9224.498 ArI(8)
3788.85 9657.79302   9657.784 ArI(3)
