pixel wave1 wavelength name
	        643.82   3888.646   3888.646 HeI
	       1089.36 4713.16425   4713.143 HeI
	       1197.65 4921.87054   4921.929 HeI
	       1245.94 5015.69888   5015.675 HeI
	       1689.60 5852.45585  5852.4878 NeI(6)
	       1723.60 5944.88578  5944.8342 NeI(1)
	       1766.90 6030.09487  6029.9971 NeI(3)
	       1789.00 6074.31013  6074.3377 NeI(3)
	       1800.20 6096.15728   6096.163 NeI
	       1823.00 6143.03175  6143.0623 NeI(1)
	       1833.00  6163.6543  6163.5939 NeI(5)
	       1859.90 6217.26157  6217.2813 NeI(1)
	       1884.60 6266.41443   6266.495 NeI(5)
	       1903.30 6304.74295  6304.7892 NeI
	       1918.60 6334.51342  6334.4279 NeI(1)
	       1942.10 6383.16346  6382.9914 NeI(3)
	       1951.80 6402.09806   6402.246 NeI(1)
	       2003.80 6506.48295  6506.5279 NeI(3)
	       2016.80  6532.7479  6532.8824 NeI
	       2049.00  6598.9554  6598.9529 NeI(6)
	       2087.80 6678.39123     6678.2 blend_HeI_6678.149_with_NeI_6678.2764
	       2107.20 6717.10095  6717.0428 NeI
	       2211.10 6929.33793   6929.468 NeI(6)
	       2216.06 6965.56679    6965.43 ArI(1)
	       2261.70 7032.26642  7032.4127 NeI(1)
           2278.05 7065.1771   7065.2153 HeI
	       2330.60 7173.78516   7173.939 NeI(6)
	       2365.30 7244.97486   7245.167 NeI(3)
           2381.00 7281.38045   7281.349 HeI
	       2433.60 7384.20871    7383.98 ArI
           2491.50 7503.89358   7503.867    ArI(8)
           2498.1  7514.68842   7514.651    ArI
	       2556.00 7635.33461   7635.105 ArI(1)
	       2707.65 7948.11842   7948.175 ArI(6)
           2788.40 8115.24975   8115.311    ArI(1)
	       2846.36 8264.51804   8264.521 ArI(8)
           2937.85 8424.53895   8424.647    ArI(3)
	       2985.20 8521.34778   8521.441 ArI(8)
	       3055.85 8667.95678   8667.943 ArI(6)
	       3274.85 9123.04508   9122.966 ArI(1)
	       3324.00 9224.44844   9224.498 ArI(8)
	       3532.75 9657.78453   9657.784 ArI(3)
