pixel wave1 wavelength name
129.86 6163.52586  6163.5939  NeI(5)
180.14 6217.21341  6217.2813  NeI(1)
226.05 6266.44262   6266.495  NeI(5)
261.77 6304.87307  6304.7892   NeI
289.16 6334.42959  6334.4279   NeI(1)
334.08  6383.0405  6382.9914    NeI(3)
351.82 6402.28435   6402.246   NeI(1)
447.54 6506.59718  6506.5279   NeI(3)
471.61 6532.95968  6532.8824   NeI
531.77 6599.02998  6598.9529    NeI(6)
638.53 6717.00328  6717.0428    NeI
828.79 6929.37961   6929.468  NeI(6)
920.19 7032.32141  7032.4127    NeI(1)
1045.05 7173.82002   7173.939    NeI(6)
1107.56 7245.03257   7245.167    NeI(3)
1139.39 7281.38045   7281.349    HeI
1229.01 7384.02692    7383.98    ArI
1333.18 7503.89358   7503.867    ArI(8)
1342.54 7514.68842   7514.651    ArI
1446.72 7635.15847   7635.105   ArI(1)
1523.21 7723.93435     7723.8    blend_AI(1)_7723.760_and_AI(6)_7724.206
1857.85 8115.24975   8115.311    ArI(1)
1984.69 8264.64385   8264.521    ArI(8)
2119.96 8424.53895   8424.647    ArI(3)
2201.71 8521.40925   8521.441    ArI(8)
2706.72 9122.94958   9122.966    ArI(1)
2791.69 9224.52689   9224.498    ArI(8)
3153.85 9657.78382   9657.784    ArI(3)
3969.85 10830.337    10830.337   HeI
